City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kokopo,-4.352,152.2633,77.23,87,15,9.57,PG,2021-09-25 13:04:12
1,Hasaki,35.7333,140.8333,66.6,65,100,17.96,JP,2021-09-25 13:04:12
2,Busselton,-33.65,115.3333,57.04,73,88,12.35,AU,2021-09-25 13:04:13
3,Tigil,57.8,158.6667,40.21,76,0,3.44,RU,2021-09-25 13:04:13
4,Rikitea,-23.1203,-134.9692,73.74,74,20,16.13,PF,2021-09-25 13:04:14
5,Truckee,39.328,-120.1833,62.37,54,1,0.0,US,2021-09-25 13:04:14
6,Homer,59.6425,-151.5483,37.8,85,1,0.0,US,2021-09-25 13:04:15
7,Yerbogachen,61.2767,108.0108,42.01,75,98,7.78,RU,2021-09-25 13:04:15
8,Yellowknife,62.456,-114.3525,45.41,100,90,1.01,CA,2021-09-25 13:00:54
9,Le Port,-20.9373,55.2919,75.2,75,91,7.87,RE,2021-09-25 13:04:15
10,Port Elizabeth,-33.918,25.5701,76.1,52,98,11.27,ZA,2021-09-25 13:04:16
11,Chanthaburi,12.8333,102.1667,63.34,99,100,2.44,TH,2021-09-25 13:04:17
12,Ushuaia,-54.8,-68.3,40.66,70,75,8.05,AR,2021-09-25 13:04:17
13,Bluff,-46.6,168.3333,37.8,66,49,19.53,NZ,2021-09-25 13:01:17
14,Tamandare,-8.7597,-35.1047,79.43,78,18,11.12,BR,2021-09-25 13:04:18
15,Camargo,27.6667,-105.1667,66.74,70,32,2.13,MX,2021-09-25 13:04:19
16,Anqing,30.5092,117.0506,84.11,67,100,2.95,CN,2021-09-25 13:04:19
17,Valparaiso,-33.0393,-71.6273,56.84,83,90,0.0,CL,2021-09-25 13:04:19
18,Saldanha,-33.0117,17.9442,63.32,66,6,10.49,ZA,2021-09-25 13:01:27
19,Atuona,-9.8,-139.0333,77.95,77,10,17.9,PF,2021-09-25 13:04:20
20,Vaini,-21.2,-175.2,70.61,59,92,12.66,TO,2021-09-25 13:01:14
21,Ajdabiya,30.7554,20.2263,81.1,38,0,10.76,LY,2021-09-25 12:59:55
22,Fort William,56.8165,-5.1121,62.44,96,100,3.42,GB,2021-09-25 13:04:20
23,Bambous Virieux,-20.3428,57.7575,74.21,75,50,17.31,MU,2021-09-25 13:04:21
24,Dwarka,22.2394,68.9678,81.57,83,11,14.38,IN,2021-09-25 13:04:21
25,Kutum,14.2,24.6667,89.15,15,71,9.71,SD,2021-09-25 13:04:22
26,Fortuna,40.5982,-124.1573,53.98,75,90,1.99,US,2021-09-25 13:04:22
27,Hoshcha,50.6003,26.6744,62.85,79,100,15.43,UA,2021-09-25 13:04:22
28,Verkhneye Dubrovo,56.7528,61.0468,56.59,33,0,11.18,RU,2021-09-25 13:04:23
29,Morondava,-20.2833,44.2833,80.35,62,3,14.09,MG,2021-09-25 13:04:23
30,Ancud,-41.8697,-73.8203,49.42,94,100,19.46,CL,2021-09-25 13:01:41
31,Iqaluit,63.7506,-68.5145,26.33,100,90,8.05,CA,2021-09-25 13:04:23
32,Harper,4.375,-7.7169,81.46,76,100,10.87,LR,2021-09-25 13:04:24
33,Albany,42.6001,-73.9662,59.74,98,99,0.81,US,2021-09-25 13:00:54
34,Qaanaaq,77.484,-69.3632,20.17,70,99,8.77,GL,2021-09-25 13:04:24
35,Rauma,61.1272,21.5113,53.64,82,100,15.37,FI,2021-09-25 13:04:24
36,Samarai,-10.6167,150.6667,78.85,87,14,13.53,PG,2021-09-25 13:04:25
37,Lahaina,20.8783,-156.6825,76.8,80,10,7.47,US,2021-09-25 13:04:25
38,Ostrovnoy,68.0531,39.5131,47.39,86,100,10.65,RU,2021-09-25 13:01:22
39,Mar Del Plata,-38.0023,-57.5575,58.08,64,90,3.0,AR,2021-09-25 13:01:28
40,Richards Bay,-28.783,32.0377,84.27,49,99,17.05,ZA,2021-09-25 13:04:25
41,Port Alfred,-33.5906,26.891,73.72,65,99,9.64,ZA,2021-09-25 13:04:26
42,Cape Town,-33.9258,18.4232,75.11,59,12,10.45,ZA,2021-09-25 13:02:05
43,San Cristobal,7.7669,-72.225,75.38,88,92,4.54,VE,2021-09-25 12:57:53
44,Fuerte Olimpo,-21.0415,-57.8738,87.66,27,0,5.01,PY,2021-09-25 13:04:26
45,Provideniya,64.3833,-173.3,30.65,85,100,10.78,RU,2021-09-25 13:01:34
46,Adrar,20.5022,-10.0711,98.94,20,62,4.79,MR,2021-09-25 13:04:26
47,Punta Arenas,-53.15,-70.9167,37.11,86,100,12.53,CL,2021-09-25 13:00:16
48,Glamang,6.1626,125.0839,75.69,89,100,1.3,PH,2021-09-25 13:04:27
49,Hermanus,-34.4187,19.2345,78.8,46,84,21.7,ZA,2021-09-25 13:04:27
50,Chapais,49.7834,-74.8492,49.05,80,38,9.28,CA,2021-09-25 13:02:52
51,Tanhacu,-14.0214,-41.2481,76.1,51,83,8.41,BR,2021-09-25 13:04:28
52,Kapaa,22.0752,-159.319,77.32,79,90,12.66,US,2021-09-25 13:04:28
53,Guerrero Negro,27.9769,-114.0611,69.22,84,88,10.38,MX,2021-09-25 13:03:32
54,Kamenka,51.3223,42.7678,53.89,62,83,5.41,RU,2021-09-25 13:04:28
55,Saint-Philippe,-21.3585,55.7679,74.79,73,51,14.18,RE,2021-09-25 13:04:29
56,Korla,41.7597,86.1469,70.11,24,0,3.49,CN,2021-09-25 13:04:29
57,Vorukh,39.8494,70.5838,69.33,24,0,2.86,TJ,2021-09-25 13:04:29
