City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Nabire,ID,76.28,Broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
9,Pochutla,MX,88.56,Broken clouds,15.7432,-96.4661,Hotel Posada San Jose
10,Tevaitoa,PF,79.12,Light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
11,Kirakira,SB,77.7,Broken clouds,-10.4544,161.9205,SanBiz Lodge
14,Kapaa,US,78.12,Light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
15,Caravelas,BR,78.85,Overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
16,Shrigonda,IN,75.09,Light rain,18.6167,74.6833,कानिफनाथ मंदिर
22,Puerto Ayora,EC,76.96,Overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
23,La Huacana,MX,82.89,Overcast clouds,18.9667,-101.8167,Hotel Yunuen
29,Erzin,TR,77.0,Clear sky,36.9559,36.2,Artemis Otel
31,Gobabis,,76.44,Clear sky,-22.45,18.9667,Goba Lodge
33,Nishihara,JP,79.88,Few clouds,26.1842,127.7558,Minshuku Agaihama
46,Houma,US,82.99,Clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
49,Bengkulu,ID,75.25,Overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
53,Marzuq,YE,82.11,Few clouds,14.4,46.4667,
62,Bengkulu,ID,75.25,Overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
70,Houston,US,86.45,Clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
81,Acapulco,MX,85.53,Overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
82,Eyl,SO,78.98,Broken clouds,7.9803,49.8164,Amiin Hotel
85,Liuzhou,CN,81.27,Broken clouds,24.3126,109.3892,Linjiang Inn
86,Vila Velha,BR,80.55,Clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
94,Praia,CV,84.74,Scattered clouds,14.9215,-23.5087,LT Aparthotel
97,Beroroha,MG,78.28,Clear sky,-21.6667,45.1667,
103,Victoria,HK,84.38,Light rain,22.2855,114.1577,Mini Hotel Central
111,Pilani,IN,81.7,Clear sky,28.3684,75.6041,Hotel Sunshine
117,Cordoba,AR,83.43,Clear sky,-31.4135,-64.1811,Hotel Sussex
127,Atuona,PF,78.58,Broken clouds,-9.8,-139.0333,Villa Enata
138,Soller,ES,82.02,Broken clouds,39.7662,2.7152,Hotel Marina & Wellness Spa
139,Kahului,US,80.83,Clear sky,20.8947,-156.47,Maui Seaside Hotel
143,Abilene,US,86.49,Clear sky,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
145,Mouila,GA,75.6,Moderate rain,-1.8685,11.0559,Hôtel du Lac Bleu
148,Samarai,PG,79.16,Broken clouds,-10.6167,150.6667,Nuli Sapi
154,Kapaa,US,78.12,Light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
166,Saint Anthony,US,77.14,Broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
169,Kavaratti,IN,81.55,Broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
173,Chandla,IN,82.71,Broken clouds,25.0833,80.2,Rest House
174,Harrison,US,83.34,Clear sky,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
175,Atuona,PF,78.58,Broken clouds,-9.8,-139.0333,Villa Enata
191,Corinto,GR,79.75,Clear sky,37.9407,22.9573,Ephira Hotel
198,Krugersdorp,ZA,78.39,Scattered clouds,-26.0858,27.7752,Rabbit Hole Hotel
207,San Patricio,US,87.89,Clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
208,Moissala,TD,75.49,Scattered clouds,8.3404,17.7663,
213,Ternate,ID,80.02,Scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
217,Paita,PE,75.76,Overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
220,Burkburnett,US,88.9,Scattered clouds,34.0979,-98.5706,Best Western Red River Inn
225,Ligayan,PH,83.32,Scattered clouds,4.6533,119.4706,
227,Paciran,ID,78.4,Scattered clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
234,Faanui,PF,79.3,Light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
247,Hithadhoo,MV,82.96,Overcast clouds,-0.6,73.0833,Scoop Guest House
255,Van Buren,US,89.42,Clear sky,35.4368,-94.3483,Hampton Inn Van Buren
258,Atuona,PF,78.58,Broken clouds,-9.8,-139.0333,Villa Enata
265,Kalemie,CD,76.86,Broken clouds,-5.9475,29.1947,Mahobilali
267,Misratah,LY,76.51,Scattered clouds,32.3754,15.0925,فندق الماسة
268,Lucea,JM,87.85,Clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
269,Hilo,US,76.8,Moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
278,Butaritari,KI,83.75,Overcast clouds,3.0707,172.7902,Isles Sunset Lodge
279,Avera,US,80.94,Clear sky,33.194,-82.5271,
280,Buchanan,LR,82.36,Moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
290,Griffith,US,81.14,Clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
291,Naze,JP,77.05,Few clouds,28.3667,129.4833,オーベルジュ・アガルイ
298,Hamilton,US,76.5,Clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
304,Sandakan,MY,80.28,Few clouds,5.8402,118.1179,Hotel Sandakan
305,Georgetown,MY,76.95,Scattered clouds,5.4112,100.3354,Cititel Penang
309,Namatanai,PG,79.41,Light rain,-3.6667,152.4333,Seagulls Inn Namatani
311,Puerto Ayora,EC,76.96,Overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
314,Athens,GR,79.25,Clear sky,37.9795,23.7162,Novotel Athenes
317,Kirakira,SB,77.7,Broken clouds,-10.4544,161.9205,SanBiz Lodge
320,Georgetown,MY,76.95,Scattered clouds,5.4112,100.3354,Cititel Penang
327,Hilo,US,76.8,Moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
335,Kapaa,US,78.12,Light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
336,Ugoofaaru,MV,77.63,Overcast clouds,5.6667,73.0,Ungoofaaru Inn
340,Puerto Ayora,EC,76.96,Overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
341,Touros,BR,85.1,Clear sky,-5.1989,-35.4608,INN NEW HORIZON
346,San Policarpo,PH,77.9,Broken clouds,12.1791,125.5072,Manong Aklan Resort
347,Touros,BR,85.1,Clear sky,-5.1989,-35.4608,INN NEW HORIZON
354,Puerto Ayora,EC,76.96,Overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
364,Ponta Do Sol,PT,76.01,Overcast clouds,32.6667,-17.1,Hotel do Campo
370,Finschhafen,PG,78.6,Scattered clouds,-6.6024,147.8681,Cossam Guest House
371,Butaritari,KI,83.75,Overcast clouds,3.0707,172.7902,Isles Sunset Lodge
372,Arraial Do Cabo,BR,84.16,Clear sky,-22.9661,-42.0278,Pousada Porto Praia
373,Touros,BR,85.1,Clear sky,-5.1989,-35.4608,INN NEW HORIZON
381,Butaritari,KI,83.75,Overcast clouds,3.0707,172.7902,Isles Sunset Lodge
383,Bagnara Calabra,IT,77.52,Overcast clouds,38.2885,15.8078,Grand Hotel Victoria
389,Abnub,EG,84.42,Scattered clouds,27.2696,31.1511,Romany Adly Gad
391,Alegrete,BR,77.38,Clear sky,-29.7831,-55.7919,Hotel Alegrete
398,Vila Velha,BR,80.55,Clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
406,Puerto Ayora,EC,76.96,Overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
409,Puerto Escondido,MX,87.04,Broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
413,Isla Mujeres,MX,89.17,Clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
417,Tura,IN,75.88,Overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
419,Vanimo,PG,77.47,Broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
424,Kapaa,US,78.12,Light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
425,Hithadhoo,MV,82.96,Overcast clouds,-0.6,73.0833,Scoop Guest House
430,Caravelas,BR,78.85,Overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
434,Puerto Ayora,EC,76.96,Overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
437,Ribeira Brava,PT,76.01,Overcast clouds,32.65,-17.0667,Hotel do Campo
440,Puerto Escondido,MX,87.04,Broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
441,Hithadhoo,MV,82.96,Overcast clouds,-0.6,73.0833,Scoop Guest House
444,Mahibadhoo,MV,81.57,Overcast clouds,3.7833,72.9667,Omadhoo Inn
447,Hilo,US,76.8,Moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
453,Hithadhoo,MV,82.96,Overcast clouds,-0.6,73.0833,Scoop Guest House
457,Bengkulu,ID,75.25,Overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
