City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Yar-Sale,66.8333,70.8333,32.31,84,10,6.91,RU,2021-09-26 01:21:42
1,Khatanga,71.9667,102.5,29.91,88,89,10.8,RU,2021-09-26 01:12:21
2,Bambous Virieux,-20.3428,57.7575,70.21,76,22,16.58,MU,2021-09-26 01:20:18
3,Pimentel,-6.8367,-79.9342,63.45,87,18,14.05,PE,2021-09-26 01:21:42
4,Kodiak,57.79,-152.4072,47.71,46,75,4.61,US,2021-09-26 01:09:15
5,Kiunga,-6.1219,141.2906,78.37,87,100,1.28,PG,2021-09-26 01:21:43
6,Port Alfred,-33.5906,26.891,61.61,68,23,12.57,ZA,2021-09-26 01:12:59
7,Hobart,-42.8794,147.3294,54.1,56,20,4.0,AU,2021-09-26 01:12:15
8,Kapaa,22.0752,-159.319,84.18,71,75,4.0,US,2021-09-26 01:14:40
9,Tasiilaq,65.6145,-37.6368,39.36,60,100,9.75,GL,2021-09-26 01:12:25
10,Dikson,73.5069,80.5464,36.19,85,100,19.86,RU,2021-09-26 01:12:29
11,Hilo,19.7297,-155.09,83.93,81,90,14.97,US,2021-09-26 01:12:10
12,Bredasdorp,-34.5322,20.0403,53.28,93,53,2.48,ZA,2021-09-26 01:12:51
13,Hamilton,39.1834,-84.5333,59.09,74,1,0.0,US,2021-09-26 01:13:56
14,Adrar,20.5022,-10.0711,92.17,24,97,3.49,MR,2021-09-26 01:21:44
15,Punta Arenas,-53.15,-70.9167,35.71,87,40,5.75,CL,2021-09-26 01:12:31
16,Hithadhoo,-0.6,73.0833,81.01,77,100,15.59,MV,2021-09-26 01:13:06
17,Ushuaia,-54.8,-68.3,37.06,81,40,21.85,AR,2021-09-26 01:10:05
18,Khatanga,71.9667,102.5,29.91,88,89,10.8,RU,2021-09-26 01:13:07
19,Avarua,-21.2078,-159.775,75.25,83,75,6.91,CK,2021-09-26 01:21:44
20,Bugiri,0.5714,33.7417,63.09,94,83,5.59,UG,2021-09-26 01:21:45
21,Ushuaia,-54.8,-68.3,37.06,81,40,21.85,AR,2021-09-26 01:12:23
22,Faanui,-16.4833,-151.75,79.16,73,0,8.37,PF,2021-09-26 01:21:45
23,Ribeira Grande,38.5167,-28.7,71.58,84,100,2.8,PT,2021-09-26 01:12:21
24,Fraserburgh,57.6874,-2.0184,60.71,83,16,16.37,GB,2021-09-26 01:21:45
25,Eganville,45.5334,-77.0994,54.73,95,100,2.75,CA,2021-09-26 01:21:46
26,Vaini,-21.2,-175.2,75.36,83,75,11.5,TO,2021-09-26 01:12:38
27,Los Algarrobos,8.5,-82.4333,77.41,94,20,2.3,PA,2021-09-26 01:21:47
28,Hilo,19.7297,-155.09,83.93,81,90,14.97,US,2021-09-26 01:12:10
29,Guaratuba,-25.8828,-48.5747,66.15,93,2,0.74,BR,2021-09-26 01:21:47
30,Yar-Sale,66.8333,70.8333,32.31,84,10,6.91,RU,2021-09-26 01:21:47
31,Srednekolymsk,67.45,153.6833,35.4,83,100,15.61,RU,2021-09-26 01:21:42
32,Srednekolymsk,67.45,153.6833,35.4,83,100,15.61,RU,2021-09-26 01:21:42
33,Vila Velha,-20.3297,-40.2925,71.55,73,75,6.91,BR,2021-09-26 01:12:10
